,Country,Year,Value(Imports),Share,Growth
519,EQUTL GUINEA,2022,885.56,0.1445,208.78
520,ERITREA,2022,0.12,0.0,12709.56
521,ESTONIA,2022,72.3,0.0118,20.58
522,ETHIOPIA,2022,62.44,0.0102,91.3
523,FIJI IS,2022,0.49,0.0001,-63.11
524,FINLAND,2022,876.28,0.1429,22.86
525,FR GUIANA,2022,0.33,0.0001,-74.41
526,FR POLYNESIA,2022,1.11,0.0002,1384.55
527,FRANCE,2022,5782.1,0.9432,33.13
528,GABON,2022,1070.49,0.1746,164.02
529,GAMBIA,2022,43.49,0.0071,13.24
530,GEORGIA,2022,196.64,0.0321,126.27
