,HSCode,Year,Commodity,Vol (Imports),Gowth
152,59,2020,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",306.95,-32.6
153,60,2020,KNITTED OR CROCHETED FABRICS.,361.39,-7.18
154,61,2020,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",138.96,-31.03
155,62,2020,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",158.79,23.99
156,63,2020,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,228.28,32.49
157,64,2020,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",178.82,-51.82
158,65,2020,HEADGEAR AND PARTS THEREOF.,18.04,-10.8
159,66,2020,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",20.51,-35.6
160,67,2020,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,10.87,-58.12
161,68,2020,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",377.0,-19.9
162,69,2020,CERAMIC PRODUCTS.,286.54,-17.02
163,70,2020,GLASS AND GLASSWARE.,470.95,-22.09
164,71,2020,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",110.9,-20.49
165,72,2020,IRON AND STEEL,895.4,-20.15
166,73,2020,ARTICLES OF IRON OR STEEL,1317.93,-17.05
167,74,2020,COPPER AND ARTICLES THEREOF.,167.59,-6.04
168,75,2020,NICKEL AND ARTICLES THEREOF.,51.85,-34.12
169,76,2020,ALUMINIUM AND ARTICLES THEREOF.,735.01,-23.22
170,78,2020,LEAD AND ARTICLES THEREOF.,1.4,-77.6
171,79,2020,ZINC AND ARTICLES THEREOF.,5.66,-31.07
172,80,2020,TIN AND ARTICLES THEREOF.,3.16,-23.01
173,81,2020,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,173.69,-20.74
174,82,2020,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",382.84,17.79
175,83,2020,MISCELLANEOUS ARTICLES OF BASE METAL.,326.76,-18.82
176,84,2020,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",13987.6,4.99
177,85,2020,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",20328.55,6.41
178,86,2020,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",180.48,-11.82
179,87,2020,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1375.69,7.99
180,88,2020,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3.66,-69.62
181,89,2020,"SHIPS, BOATS AND FLOATING STRUCTURES.",83.27,19.02
182,90,2020,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1732.53,29.25
183,91,2020,CLOCKS AND WATCHES AND PARTS THEREOF.,30.72,-37.39
184,92,2020,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,30.21,3.94
185,93,2020,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.05,-28.77
186,94,2020,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",589.95,-34.41
187,95,2020,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",289.72,-27.98
188,96,2020,MISCELLANEOUS MANUFACTURED ARTICLES.,311.15,-12.23
189,97,2020,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,4.69,-74.94
190,98,2020,PROJECT GOODS; SOME SPECIAL USES.,350.06,-20.45
191,99,2020,MISCELLANEOUS GOODS.,0.08,-7.51
192,01,2019,LIVE ANIMALS.,0.05,NA
193,03,2019,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.46,NA
194,05,2019,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",4.73,NA
195,06,2019,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3.54,NA
196,07,2019,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,48.93,NA
197,08,2019,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10.33,NA
198,09,2019,"COFFEE, TEA, MATE AND SPICES.",14.99,NA
199,10,2019,CEREALS.,0.0,NA
200,11,2019,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,11.29,NA
201,12,2019,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.28,NA
202,13,2019,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",29.72,NA
203,14,2019,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,67.33,NA
204,15,2019,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,9.65,NA
205,16,2019,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.09,NA
206,17,2019,SUGARS AND SUGAR CONFECTIONERY.,3.89,NA
207,18,2019,COCOA AND COCOA PREPARATIONS.,0.73,NA
208,19,2019,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.5,NA
209,20,2019,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",24.71,NA
210,21,2019,MISCELLANEOUS EDIBLE PREPARATIONS.,27.42,NA
211,22,2019,"BEVERAGES, SPIRITS AND VINEGAR.",1.59,NA
212,23,2019,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,62.39,NA
213,24,2019,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,5.79,NA
214,25,2019,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",107.33,NA
215,26,2019,"ORES, SLAG AND ASH.",42.94,NA
216,27,2019,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",209.16,NA
217,28,2019,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",662.26,NA
218,29,2019,ORGANIC CHEMICALS,8974.27,NA
219,30,2019,PHARMACEUTICAL PRODUCTS,207.56,NA
220,31,2019,FERTILISERS.,1551.23,NA
221,32,2019,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",578.64,NA
222,33,2019,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",154.8,NA
223,34,2019,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",113.48,NA
224,35,2019,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,150.06,NA
225,36,2019,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,NA
226,37,2019,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,35.69,NA
227,38,2019,MISCELLANEOUS CHEMICAL PRODUCTS.,1386.25,NA
228,39,2019,PLASTIC AND ARTICLES THEREOF.,2530.54,NA
229,40,2019,RUBBER AND ARTICLES THEREOF.,194.25,NA
230,41,2019,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,22.02,NA
231,42,2019,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",99.26,NA
232,43,2019,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.97,NA
